Player,Season,Team,Position,PTS,TRB,AST,STL,BLK,TOV,FT,FG%,3P%,2P%,FT%,TS%,BPM,OBPM,DBPM,PER,WS
Jalen Green,2024-25,HOU,SG,21.0,4.6,3.4,0.9,0.3,2.5,3.3,0.423,0.354,0.482,0.813,0.544,0.5,1.1,-0.5,15.1,5.1
Scottie Barnes,2024-25,TOR,PF,19.3,7.7,5.8,1.4,1.0,2.8,3.5,0.446,0.271,0.508,0.755,0.523,2.4,1.5,0.9,17.8,3.5
Victor Wembanyama,2024-25,SAS,C,24.3,11.0,3.7,1.1,3.8,3.2,3.4,0.476,0.352,0.586,0.836,0.594,6.5,3.6,2.9,24.2,3.8
Chet Holmgren,2024-25,OKC,C,15.0,8.0,2.0,0.7,2.2,1.8,3.2,0.49,0.379,0.547,0.754,0.599,2.4,0.5,1.9,19.2,3.2
Klay Thompson,2024-25,DAL,SF,14.0,3.4,2.0,0.7,0.4,1.2,0.9,0.412,0.391,0.448,0.905,0.552,-1.0,0.7,-1.6,12.9,1.8
Bradley Beal,2024-25,PHO,SG,17.0,3.3,3.7,1.1,0.5,1.9,2.1,0.497,0.386,0.565,0.803,0.598,-1.1,-0.1,-1.0,15.2,2.4
DeMar DeRozan,2024-25,SAC,SF,22.2,3.9,4.4,0.8,0.4,1.4,4.9,0.477,0.328,0.513,0.857,0.569,-0.1,1.2,-1.2,17.7,7.1
Mike Conley,2024-25,MIN,PG,8.2,2.6,4.5,1.1,0.2,1.1,1.1,0.4,0.41,0.38,0.9,0.573,1.2,-0.1,1.3,13.3,5.2
Julius Randle,2024-25,MIN,PF,18.7,7.1,4.7,0.7,0.2,2.8,3.9,0.485,0.344,0.555,0.806,0.593,1.3,1.5,-0.2,17.5,6.2
Jaylen Brown,2024-25,BOS,SF,22.2,5.8,4.5,1.2,0.3,2.6,3.9,0.463,0.324,0.529,0.764,0.555,0.0,0.4,-0.4,17.8,5.2
Jrue Holiday,2024-25,BOS,PG,11.1,4.3,3.9,1.1,0.4,1.2,1.1,0.443,0.353,0.547,0.909,0.565,0.7,-0.3,1.0,13.5,5.1
Bam Adebayo,2024-25,MIA,C,18.1,9.6,4.3,1.3,0.7,2.1,3.2,0.485,0.357,0.517,0.765,0.561,2.0,1.0,1.0,18.9,7.5
Andrew Wiggins,2024-25,2TM,SF,18.0,4.5,2.6,1.0,0.8,1.7,3.3,0.448,0.374,0.501,0.763,0.566,0.9,1.2,-0.3,16.4,4.0
Kristaps Porzingis,2024-25,BOS,C,19.5,6.8,2.1,0.7,1.5,1.3,3.8,0.483,0.412,0.537,0.809,0.618,4.7,3.5,1.2,22.3,5.3
Deandre Ayton,2024-25,POR,C,14.4,10.2,1.6,0.8,1.0,1.7,1.0,0.566,0.188,0.594,0.667,0.583,-0.7,-0.3,-0.4,17.7,2.8
CJ McCollum,2024-25,NOP,PG,21.1,3.8,4.1,0.8,0.4,1.9,2.2,0.444,0.373,0.505,0.717,0.55,-1.4,1.2,-2.6,15.8,1.5
Michael Porter Jr.,2024-25,DEN,SF,18.2,7.0,2.1,0.6,0.5,1.4,1.9,0.504,0.395,0.599,0.768,0.617,-0.1,1.6,-1.7,16.2,6.4
Desmond Bane,2024-25,MEM,SG,19.2,6.1,5.3,1.2,0.4,2.4,2.6,0.484,0.392,0.548,0.894,0.6,3.2,2.6,0.6,17.9,6.5
RJ Barrett,2024-25,TOR,SF,21.1,6.3,5.4,0.8,0.3,2.8,3.4,0.468,0.35,0.522,0.63,0.547,0.6,1.2,-0.7,16.5,2.4
Austin Reaves,2024-25,LAL,SG,20.2,4.5,5.8,1.1,0.3,2.4,4.4,0.46,0.377,0.547,0.877,0.616,1.9,2.4,-0.5,18.1,7.6
Derrick White,2024-25,BOS,SG,16.4,4.5,4.8,0.9,1.1,1.7,1.8,0.442,0.384,0.593,0.839,0.606,3.5,2.7,0.8,16.6,8.5
Donovan Mitchell,2024-25,CLE,SG,24.0,4.5,5.0,1.3,0.2,2.1,4.2,0.443,0.368,0.512,0.823,0.575,3.7,3.8,-0.2,20.9,7.6
De'Aaron Fox,2024-25,2TM,PG,23.5,4.8,6.3,1.5,0.4,2.8,4.2,0.463,0.31,0.538,0.827,0.56,0.4,1.3,-1.0,18.3,4.3
Domantas Sabonis,2024-25,SAC,C,19.1,13.9,6.0,0.7,0.4,2.9,3.1,0.59,0.417,0.627,0.754,0.655,5.2,4.2,1.1,22.9,10.1
Karl-Anthony Towns,2024-25,NYK,C,24.4,12.8,3.1,1.0,0.7,2.7,4.7,0.526,0.42,0.567,0.829,0.63,3.6,3.5,0.1,23.4,10.1
Brandon Ingram,2024-25,NOP,SF,22.2,5.6,5.2,0.9,0.6,3.8,2.6,0.465,0.374,0.514,0.855,0.56,-0.3,1.4,-1.7,16.0,0.0
Pascal Siakam,2024-25,IND,PF,20.2,6.9,3.4,0.9,0.5,1.4,2.9,0.519,0.389,0.568,0.734,0.599,1.7,2.2,-0.5,19.2,7.5
Fred VanVleet,2024-25,HOU,PG,14.1,3.7,5.6,1.6,0.4,1.5,1.9,0.378,0.345,0.43,0.81,0.515,0.9,-0.4,1.3,12.8,5.2
Draymond Green,2024-25,GSW,PF,9.0,6.1,5.6,1.5,1.0,2.6,1.5,0.424,0.325,0.517,0.687,0.534,0.5,-2.3,2.8,12.4,3.7
Brook Lopez,2024-25,MIL,C,13.0,5.0,1.8,0.6,1.9,1.1,1.4,0.509,0.373,0.636,0.826,0.624,0.8,0.4,0.4,14.8,6.6
Mikal Bridges,2024-25,NYK,SF,17.6,3.2,3.7,0.9,0.5,1.6,1.2,0.5,0.354,0.594,0.814,0.585,-0.5,0.4,-0.9,14.0,5.7
Aaron Gordon,2024-25,DEN,PF,14.7,4.8,3.2,0.5,0.3,1.4,2.8,0.531,0.436,0.582,0.81,0.65,1.2,2.7,-1.5,17.0,4.3
Tyrese Maxey,2024-25,PHI,PG,26.3,3.3,6.1,1.8,0.4,2.4,4.9,0.437,0.337,0.515,0.879,0.562,2.0,3.2,-1.1,19.5,3.8
Darius Garland,2024-25,CLE,PG,20.6,2.9,6.7,1.2,0.1,2.5,3.0,0.472,0.401,0.53,0.878,0.6,3.1,3.9,-0.8,19.9,8.1
Jalen Brunson,2024-25,NYK,PG,26.0,2.9,7.3,0.9,0.1,2.5,5.7,0.488,0.383,0.539,0.821,0.605,3.3,4.7,-1.3,21.6,8.3
Franz Wagner,2024-25,ORL,SF,24.2,5.7,4.7,1.3,0.4,2.3,4.5,0.463,0.295,0.535,0.871,0.558,3.1,2.6,0.5,20.1,5.6
Alperen Sengun,2024-25,HOU,C,19.1,10.3,4.9,1.1,0.8,2.6,3.9,0.496,0.233,0.519,0.692,0.545,4.4,2.6,1.8,21.4,8.3
Josh Giddey,2024-25,CHI,PG,14.6,8.1,7.2,1.2,0.6,2.9,2.5,0.465,0.378,0.512,0.781,0.57,3.0,1.9,1.1,18.1,5.3
Bennedict Mathurin,2024-25,IND,SF,16.1,5.3,1.9,0.7,0.3,1.9,3.8,0.458,0.34,0.519,0.831,0.579,-2.9,-1.3,-1.5,13.6,3.0
Keegan Murray,2024-25,SAC,PF,12.4,6.7,1.4,0.8,0.9,0.8,0.8,0.444,0.343,0.566,0.833,0.553,-1.6,-0.8,-0.8,12.0,4.4
Immanuel Quickley,2024-25,TOR,PG,17.1,3.5,5.8,0.7,0.1,1.8,3.4,0.42,0.378,0.465,0.867,0.57,2.2,3.2,-1.0,17.5,2.5
Cam Thomas,2024-25,BRK,SG,24.0,3.3,3.8,0.6,0.1,2.5,5.3,0.438,0.349,0.506,0.881,0.575,0.3,2.8,-2.6,18.0,1.2
