Player,Season,Team,Position,PTS,TRB,AST,STL,BLK,TOV,FT,FG%,3P%,2P%,FT%,TS%,BPM,OBPM,DBPM,PER,WS
Andrew Wiggins,2017-18,MIN,SF,17.7,4.4,2.0,1.1,0.6,1.7,2.5,0.438,0.331,0.475,0.643,0.505,-2.4,-0.8,-1.7,13.0,2.1
Kristaps Porzingis,2017-18,NYK,PF,22.7,6.6,1.2,0.8,2.4,1.9,4.5,0.439,0.395,0.454,0.793,0.539,1.8,1.9,-0.1,20.4,3.2
CJ McCollum,2017-18,POR,SG,21.4,4.0,3.4,1.0,0.4,1.9,2.6,0.443,0.397,0.465,0.836,0.536,1.2,1.8,-0.5,16.9,6.6
Derrick White,2017-18,SAS,PG,3.2,1.5,0.5,0.2,0.2,0.4,0.8,0.485,0.615,0.4,0.7,0.646,2.3,0.8,1.5,15.9,0.5
Donovan Mitchell,2017-18,UTA,SG,20.5,3.7,3.7,1.5,0.3,2.7,3.0,0.437,0.34,0.502,0.805,0.541,1.2,0.9,0.3,16.7,5.2
De'Aaron Fox,2017-18,SAC,PG,11.6,2.8,4.4,1.0,0.3,2.4,1.9,0.412,0.307,0.436,0.723,0.478,-4.2,-2.7,-1.5,11.2,-0.6
Domantas Sabonis,2017-18,IND,C,11.6,7.7,2.0,0.5,0.4,1.9,2.3,0.514,0.351,0.524,0.75,0.567,-1.1,-0.6,-0.5,17.5,4.7
Karl-Anthony Towns,2017-18,MIN,C,21.3,12.3,2.4,0.8,1.4,1.9,4.2,0.545,0.421,0.585,0.858,0.646,5.1,4.9,0.2,24.9,14.0
Brandon Ingram,2017-18,LAL,SF,16.1,5.3,3.9,0.8,0.7,2.5,3.3,0.47,0.39,0.483,0.681,0.536,-1.2,-0.9,-0.3,13.8,2.8
Pascal Siakam,2017-18,TOR,PF,7.3,4.5,2.0,0.8,0.5,0.8,0.7,0.508,0.22,0.612,0.621,0.549,1.3,-0.3,1.6,14.5,4.7
Fred VanVleet,2017-18,TOR,PG,8.6,2.4,3.2,0.9,0.3,1.0,1.1,0.426,0.414,0.437,0.832,0.556,2.4,1.4,1.0,15.9,4.7
Draymond Green,2017-18,GSW,PF,11.0,7.6,7.3,1.4,1.3,2.9,1.9,0.454,0.301,0.562,0.775,0.556,2.8,0.9,1.9,16.1,6.1
Brook Lopez,2017-18,LAL,C,13.0,4.0,1.7,0.4,1.3,1.3,1.5,0.465,0.345,0.549,0.703,0.557,0.9,0.7,0.2,16.5,3.8
Aaron Gordon,2017-18,ORL,PF,17.6,7.9,2.3,1.0,0.8,1.8,2.7,0.434,0.336,0.497,0.698,0.53,0.3,0.9,-0.6,16.5,2.9
LeBron James,2018-19,LAL,SF,27.4,8.5,8.3,1.3,0.6,3.6,5.1,0.51,0.339,0.582,0.665,0.588,8.0,6.4,1.7,25.6,7.2
Kevin Durant,2018-19,GSW,SF,26.0,6.4,5.9,0.7,1.1,2.9,5.7,0.521,0.353,0.587,0.885,0.631,5.5,5.4,0.1,24.2,11.5
Stephen Curry,2018-19,GSW,PG,27.3,5.3,5.2,1.3,0.4,2.8,3.8,0.472,0.437,0.525,0.916,0.641,6.6,7.1,-0.5,24.4,9.7
Nikola Jokić,2018-19,DEN,C,20.1,10.8,7.3,1.4,0.7,3.1,3.6,0.511,0.307,0.569,0.821,0.589,9.1,6.2,2.9,26.3,11.8
Giannis Antetokounmpo,2018-19,MIL,PF,27.7,12.5,5.9,1.3,1.5,3.7,6.9,0.578,0.256,0.641,0.729,0.644,10.4,6.3,4.1,30.9,14.4
Joel Embiid,2018-19,PHI,C,27.5,13.6,3.7,0.7,1.9,3.5,8.2,0.484,0.3,0.535,0.804,0.593,4.9,4.0,0.9,26.1,8.7
Kawhi Leonard,2018-19,TOR,SF,26.6,7.3,3.3,1.8,0.4,2.0,6.1,0.496,0.371,0.542,0.854,0.606,7.2,6.1,1.1,25.8,9.5
James Harden,2018-19,HOU,PG,36.1,6.6,7.5,2.0,0.7,5.0,9.7,0.442,0.368,0.528,0.879,0.616,11.0,9.4,1.6,30.6,15.2
Russell Westbrook,2018-19,OKC,PG,22.9,11.1,10.7,1.9,0.5,4.5,4.1,0.428,0.29,0.481,0.656,0.501,5.2,2.8,2.4,21.1,6.8
Jayson Tatum,2018-19,BOS,SF,15.7,6.0,2.1,1.1,0.7,1.5,2.5,0.45,0.373,0.483,0.855,0.547,-0.2,-0.4,0.2,15.1,5.0
Luka Dončić,2018-19,DAL,SG,21.2,7.8,6.0,1.1,0.3,3.4,4.8,0.427,0.327,0.503,0.713,0.545,3.9,3.6,0.3,19.6,4.9
Anthony Davis,2018-19,NOP,C,25.9,12.0,3.9,1.6,2.4,2.0,6.1,0.517,0.331,0.547,0.794,0.597,9.4,7.1,2.3,30.3,9.5
Devin Booker,2018-19,PHO,SG,26.6,4.1,6.8,0.9,0.2,4.1,6.1,0.467,0.326,0.536,0.866,0.584,1.0,3.3,-2.3,20.2,3.5
Damian Lillard,2018-19,POR,PG,25.8,4.6,6.9,1.1,0.4,2.7,5.9,0.444,0.369,0.499,0.912,0.588,6.4,6.6,-0.3,23.7,12.1
Jimmy Butler,2018-19,2TM,SG,18.7,5.3,4.0,1.9,0.6,1.5,4.8,0.462,0.347,0.494,0.855,0.571,3.7,2.8,0.9,20.2,7.9
Kyrie Irving,2018-19,BOS,PG,23.8,5.0,6.9,1.5,0.5,2.6,3.2,0.487,0.401,0.533,0.873,0.592,7.2,6.0,1.1,24.3,9.1
Paul George,2018-19,OKC,SF,28.0,8.2,4.1,2.2,0.4,2.7,5.9,0.438,0.386,0.484,0.839,0.583,7.2,5.6,1.6,23.3,11.9
Chris Paul,2018-19,HOU,PG,15.6,4.6,8.2,2.0,0.3,2.6,3.0,0.419,0.358,0.479,0.862,0.56,3.9,2.7,1.1,19.7,6.6
Shai Gilgeous-Alexander,2018-19,LAC,PG,10.8,2.8,3.3,1.2,0.5,1.7,1.9,0.476,0.367,0.503,0.8,0.554,-0.5,-0.9,0.4,13.4,3.3
Klay Thompson,2018-19,GSW,SG,21.5,3.8,2.4,1.1,0.6,1.5,1.7,0.467,0.402,0.516,0.816,0.571,-0.3,1.1,-1.4,16.6,5.3
